onset	duration	description	channels
677.178282	0.954424	BAD boundary	
678.836999	0.000000	animal_distractor	
680.649999	0.000000	animal_distractor	
682.741001	0.000000	animal_distractor	
684.739000	0.000000	animal_target	
685.182001	0.000000	correct	
686.861000	0.000000	animal_target	
687.281000	0.000000	correct	
688.895000	0.000000	animal_distractor	
690.718999	0.000000	animal_distractor	
692.757001	0.000000	animal_distractor	
694.611001	0.000000	animal_target	
695.038000	0.000000	correct	
696.704999	0.000000	animal_target	
697.098001	0.000000	correct	
698.543001	0.000000	animal_target	
698.906000	0.000000	correct	
700.447000	0.000000	animal_distractor	
702.275999	0.000000	animal_distractor	
704.220998	0.000000	animal_distractor	
706.120000	0.000000	animal_target	
706.593000	0.000000	correct	
708.270002	0.000000	animal_target	
709.107000	0.000000	correct	
710.330999	0.000000	animal_distractor	
712.397001	0.000000	animal_distractor	
712.801000	0.000000	incorrect	
714.251001	0.000000	animal_target	
714.851999	0.000000	correct	
716.406999	0.000000	animal_target	
716.829999	0.000000	correct	
718.466001	0.000000	animal_target	
718.892999	0.000000	correct	
720.490999	0.000000	animal_target	
720.895002	0.000000	correct	
722.447999	0.000000	animal_target	
724.574003	0.000000	animal_target	
725.398000	0.000000	correct	
726.439001	0.000000	animal_target	
727.100004	0.000000	correct	
728.408002	0.000000	animal_target	
728.847997	0.000000	correct	
730.511999	0.000000	animal_target	
730.850004	0.000000	correct	
732.399999	0.000000	animal_target	
732.725004	0.000000	correct	
734.597997	0.000000	animal_target	
735.100004	0.000000	correct	
736.685003	0.000000	animal_target	
737.063001	0.000000	correct	
738.847997	0.000000	animal_distractor	
739.205999	0.000000	incorrect	
740.892003	0.000000	animal_target	
741.439001	0.000000	correct	
742.962003	0.000000	animal_distractor	
744.945997	0.000000	animal_distractor	
747.037000	0.000000	animal_distractor	
749.228002	0.000000	animal_distractor	
751.305997	0.000000	animal_target	
751.841001	0.000000	correct	
753.425001	0.000000	animal_distractor	
755.511999	0.000000	animal_target	
755.900999	0.000000	correct	
757.493001	0.000000	animal_distractor	
759.310003	0.000000	animal_distractor	
761.128004	0.000000	animal_distractor	
763.268003	0.000000	animal_distractor	
765.326002	0.000000	animal_distractor	
767.161001	0.000000	animal_distractor	
769.276998	0.000000	animal_target	
769.757001	0.000000	correct	
771.457998	0.000000	animal_target	
772.046003	0.000000	correct	
773.444997	0.000000	animal_target	
773.868001	0.000000	correct	
775.489004	0.000000	animal_distractor	
777.366003	0.000000	animal_distractor	
779.376996	0.000000	animal_target	
780.033002	0.000000	correct	
781.311002	0.000000	animal_target	
781.788000	0.000000	correct	
783.236997	0.000000	animal_target	
783.908002	0.000000	correct	
785.166997	0.000000	animal_target	
785.717000	0.000000	correct	
787.221998	0.000000	animal_distractor	
787.802000	0.000000	incorrect	
789.132001	0.000000	animal_distractor	
