stage,roi,condition,trial_index,amp_uV,peak_latency_ms
Before ICA,Frontal ROI,familiar,409,-17.00470220659677,416.0
Before ICA,Frontal ROI,familiar,410,8.332907195679839,401.0
Before ICA,Frontal ROI,familiar,411,-18.942596712482715,402.0
Before ICA,Frontal ROI,familiar,412,-13.619479396238866,308.0
Before ICA,Frontal ROI,familiar,413,-2.7660542347038968,332.0
Before ICA,Frontal ROI,familiar,414,17.949257673519515,412.0
Before ICA,Frontal ROI,familiar,415,4.286941707684134,483.0
Before ICA,Frontal ROI,familiar,416,-11.56827558277608,401.0
Before ICA,Frontal ROI,familiar,417,7.839362443647217,388.0
Before ICA,Frontal ROI,familiar,418,-10.629943481779733,309.0
Before ICA,Frontal ROI,familiar,419,-12.613910834810191,409.0
