roi,time_ms,t_value,p_value,p_fdr,sig,mean_diff_uV
Frontal ROI,204.0,3.975089832357294,0.0032296838153901813,0.07006837754569716,False,3.4056060138349062
Frontal ROI,205.0,3.9787137204569496,0.0032120375857142233,0.07006837754569716,False,3.447462699783901
Frontal ROI,206.0,3.9943862984694025,0.0031368898269650753,0.07006837754569716,False,3.490952973572641
Frontal ROI,207.0,4.015691925289977,0.0030377087926160107,0.07006837754569716,False,3.53594577979963
Frontal ROI,208.0,4.035325130639797,0.002949255533170249,0.07006837754569716,False,3.5809616587096436
Frontal ROI,209.0,4.047263741878706,0.0028968084417706646,0.07006837754569716,False,3.6241477294802196
Frontal ROI,210.0,4.048273597986769,0.0028924177221631036,0.07006837754569716,False,3.664433588263944
Frontal ROI,211.0,4.038219475422978,0.0029364486031022816,0.07006837754569716,False,3.7022645131033918
Frontal ROI,212.0,4.019253821907158,0.003021454754635866,0.07006837754569716,False,3.7395410265043183
Frontal ROI,213.0,3.9944762227845527,0.0031364640709947837,0.07006837754569716,False,3.7788206525192876
Frontal ROI,214.0,3.966718265184545,0.0032708425380970456,0.07006837754569716,False,3.8222293647215166
Frontal ROI,215.0,3.937815870746451,0.0034172660855531266,0.07006837754569716,False,3.8706669263415376
Frontal ROI,216.0,3.908423924081039,0.0035733101951739253,0.07006837754569716,False,3.9237012069672743
Frontal ROI,217.0,3.878264280148442,0.0037412940800206906,0.07006837754569716,False,3.98015011333018
Frontal ROI,218.0,3.8465962734392636,0.003926700847996746,0.07006837754569716,False,4.038974680090975
Frontal ROI,219.0,3.812649625508336,0.004136276851213799,0.07006837754569716,False,4.099950040302541
Frontal ROI,220.0,3.775845554652301,0.004376900772148398,0.07006837754569716,False,4.163714253839514
Frontal ROI,221.0,3.7358325246750894,0.004655345840129403,0.07006837754569716,False,4.231147484356778
Frontal ROI,222.0,3.6925275194808065,0.004977849005607265,0.07006837754569716,False,4.302413366259072
Frontal ROI,223.0,3.646298754401649,0.005348222140499651,0.07006837754569716,False,4.376199347190219
Frontal ROI,224.0,3.5981676083465874,0.005764778326713432,0.07006837754569716,False,4.449611181774943
