roi,time_ms,category,mean_uV,sem_uV
Frontal ROI,287.0,nonanimal,1.6482788586333665,1.0352770235206519
Frontal ROI,288.0,animal,0.3384892916416556,0.5138672893117853
Frontal ROI,288.0,nonanimal,1.6233548281699648,1.035208629659908
Frontal ROI,289.0,animal,0.2859175156060164,0.5141403113069746
Frontal ROI,289.0,nonanimal,1.59340742223945,1.0329675548514012
Frontal ROI,290.0,animal,0.2364047675928811,0.5149032077778537
Frontal ROI,290.0,nonanimal,1.5448898277098237,1.0259471619643319
Frontal ROI,291.0,animal,0.1909564893901481,0.5151276662006223
Frontal ROI,291.0,nonanimal,1.4697021546682727,1.0115198944200985
Frontal ROI,292.0,animal,0.1485706793619857,0.5133073319119699
Frontal ROI,292.0,nonanimal,1.3673810439784462,0.9885739969858746
Frontal ROI,293.0,animal,0.10729416840821082,0.5086217889914378
Frontal ROI,293.0,nonanimal,1.2449846114755545,0.9584982895422347
Frontal ROI,294.0,animal,0.06556295242210619,0.5015983382513545
Frontal ROI,294.0,nonanimal,1.1149004834849898,0.9250263720966858
Frontal ROI,295.0,animal,0.023240501033928072,0.4939091480264716
Frontal ROI,295.0,nonanimal,0.991367502137998,0.8930960210958266
Frontal ROI,296.0,animal,-0.01806374611016932,0.4875925125357014
Frontal ROI,296.0,nonanimal,0.8867554141982037,0.8673952239094391
Frontal ROI,297.0,animal,-0.05548831648315762,0.48428409377797405
Frontal ROI,297.0,nonanimal,0.8086066858578175,0.8513338823656937
Frontal ROI,298.0,animal,-0.08599404611671475,0.4848320846318785
Frontal ROI,298.0,nonanimal,0.7581496553261925,0.8468009793054654
Frontal ROI,299.0,animal,-0.10758197012752076,0.489229110414678
Frontal ROI,299.0,nonanimal,0.7305455683357224,0.8544900441435321
Frontal ROI,300.0,animal,-0.12018157710008366,0.49663896307090977
Frontal ROI,300.0,nonanimal,0.7166461544380386,0.874200789263587
Frontal ROI,301.0,animal,-0.1258693454469241,0.5055253499382241
Frontal ROI,301.0,nonanimal,0.7056820965872461,0.9046362319387263
Frontal ROI,302.0,animal,-0.128338957353295,0.5140249176925986
Frontal ROI,302.0,nonanimal,0.6881441455666477,0.9427868442252044
Frontal ROI,303.0,animal,-0.13183925847639927,0.5204810796985349
Frontal ROI,303.0,nonanimal,0.6581228532196605,0.983621339368376
Frontal ROI,304.0,animal,-0.1399861630241726,0.5238344877502549
Frontal ROI,304.0,nonanimal,0.6144820975442074,1.0208283618121097
Frontal ROI,305.0,animal,-0.15485353812962543,0.5236954951553611
Frontal ROI,305.0,nonanimal,0.5604797214850425,1.0486021336972924
Frontal ROI,306.0,animal,-0.17658975478339178,0.5202354463645206
Frontal ROI,306.0,nonanimal,0.5019054288546045,1.063619632528113
Frontal ROI,307.0,animal,-0.203579633495647,0.5141456102526254
Frontal ROI,307.0,nonanimal,0.444370314933339,1.0661373476287737
Frontal ROI,308.0,animal,-0.23298711034698977,0.5067101806492382
Frontal ROI,308.0,nonanimal,0.39077397226560684,1.059634383354868
Frontal ROI,309.0,animal,-0.26142841328643535,0.4997927608678225
Frontal ROI,309.0,nonanimal,0.3399163299153997,1.049272575713274
Frontal ROI,310.0,animal,-0.28558051242686816,0.49556827674404835
Frontal ROI,310.0,nonanimal,0.2867504321501925,1.0401148800942848
Frontal ROI,311.0,animal,-0.3026758738795937,0.49612496663558187
Frontal ROI,311.0,nonanimal,0.22417121382893232,1.0360094737565984
Frontal ROI,312.0,animal,-0.3109725836392632,0.5032122241550344
Frontal ROI,312.0,nonanimal,0.14576006762869934,1.0392729323579093
Frontal ROI,313.0,animal,-0.31029423957320357,0.5181065077762146
Frontal ROI,313.0,nonanimal,0.0486233223336233,1.0506296001176998
Frontal ROI,314.0,animal,-0.3025741597154376,0.5412081196881303
Frontal ROI,314.0,nonanimal,-0.06465108338230638,1.0690964901684534
Frontal ROI,315.0,animal,-0.2921095249879722,0.5712981422068424
Frontal ROI,315.0,nonanimal,-0.18578504458778072,1.0921850763395644
Frontal ROI,316.0,animal,-0.2851282137590963,0.6051314208228173
Frontal ROI,316.0,nonanimal,-0.3027523275745001,1.1168046616551877
Frontal ROI,317.0,animal,-0.28844145703482693,0.6380356891952748
Frontal ROI,317.0,nonanimal,-0.40344350864220085,1.1405473283995455
Frontal ROI,318.0,animal,-0.3073962931067294,0.6652844252873443
Frontal ROI,318.0,nonanimal,-0.4797657648031642,1.1625484235315717
Frontal ROI,319.0,animal,-0.34382721474944167,0.6834146885385077
Frontal ROI,319.0,nonanimal,-0.5305154163277926,1.1833246502912236
Frontal ROI,320.0,animal,-0.3949371867727297,0.690935664012391
Frontal ROI,320.0,nonanimal,-0.5617874387313003,1.203647584303131
Frontal ROI,321.0,animal,-0.45379908554377035,0.6884274578255755
Frontal ROI,321.0,nonanimal,-0.5847187925639219,1.2232234411810923
Frontal ROI,322.0,animal,-0.5115165582650093,0.6782617041423531
Frontal ROI,322.0,nonanimal,-0.6114778498246987,1.2402213917452167
Frontal ROI,323.0,animal,-0.560312880308454,0.6640593666082542
Frontal ROI,323.0,nonanimal,-0.6510870526814472,1.25209622864852
Frontal ROI,324.0,animal,-0.5963170755887307,0.649863393013884
Frontal ROI,324.0,nonanimal,-0.7066430381019411,1.257084125878627
Frontal ROI,325.0,animal,-0.6208702299852777,0.6390993979277091
Frontal ROI,325.0,nonanimal,-0.7748348632987078,1.255267427563972
Frontal ROI,326.0,animal,-0.6398042930383879,0.6336646397495549
Frontal ROI,326.0,nonanimal,-0.8476850856459665,1.2486082289604672
Frontal ROI,327.0,animal,-0.661060353246006,0.6335941963080681
Frontal ROI,327.0,nonanimal,-0.9156282184015728,1.2401847791557465
Frontal ROI,328.0,animal,-0.6917194230355068,0.637484311229708
Frontal ROI,328.0,nonanimal,-0.9707295924734727,1.2332447509116224
Frontal ROI,329.0,animal,-0.7356521905162988,0.6434021423980296
Frontal ROI,329.0,nonanimal,-1.009076218701991,1.2304503247570768
Frontal ROI,330.0,animal,-0.7925547868687093,0.6497629925838686
Frontal ROI,330.0,nonanimal,-1.0318587846761804,1.233282752717956
Frontal ROI,331.0,animal,-0.8584531057375878,0.6557518231536458
Frontal ROI,331.0,nonanimal,-1.0451096094658745,1.2415075037373824
Frontal ROI,332.0,animal,-0.9272242593390437,0.6611891507067488
Frontal ROI,332.0,nonanimal,-1.0583248344163438,1.2528793586722047
Frontal ROI,333.0,animal,-0.9924758612281398,0.6660980567545647
Frontal ROI,333.0,nonanimal,-1.082332582203081,1.263444177276927
Frontal ROI,334.0,animal,-1.0491962997261666,0.670377859633799
Frontal ROI,334.0,nonanimal,-1.1268485479915789,1.2685693796784234
Frontal ROI,335.0,animal,-1.094789571236873,0.6737952425512764
Frontal ROI,335.0,nonanimal,-1.1981952876895359,1.2644209792020646
Frontal ROI,336.0,animal,-1.1293417247818607,0.6761693864426263
Frontal ROI,336.0,nonanimal,-1.2976411562692767,1.2493491012623803
Frontal ROI,337.0,animal,-1.1551800132837475,0.6775079242035138
Frontal ROI,337.0,nonanimal,-1.4207313815342892,1.2246446111224052
Frontal ROI,338.0,animal,-1.1759503669004925,0.6780129698230214
Frontal ROI,338.0,nonanimal,-1.5578159986510023,1.1943091045107523
Frontal ROI,339.0,animal,-1.1955065724563876,0.6780381690023679
Frontal ROI,339.0,nonanimal,-1.6957441170134797,1.1638374841758155
Frontal ROI,340.0,animal,-1.2168840721613932,0.6780456349149516
Frontal ROI,340.0,nonanimal,-1.8204254297332827,1.1385224430760448
Frontal ROI,341.0,animal,-1.2415811345196919,0.6785168456677823
Frontal ROI,341.0,nonanimal,-1.9197516340886238,1.1221208496484263
Frontal ROI,342.0,animal,-1.2693214069573817,0.6798038938927496
Frontal ROI,342.0,nonanimal,-1.986254616473688,1.1163939595342116
Frontal ROI,343.0,animal,-1.2984038212806484,0.6820182013541778
Frontal ROI,343.0,nonanimal,-2.01886867390444,1.121237805983831
Frontal ROI,344.0,animal,-1.3265856003780097,0.6850570487880586
Frontal ROI,344.0,nonanimal,-2.023286387919705,1.134858748438063
Frontal ROI,345.0,animal,-1.352210513003677,0.688731400167139
Frontal ROI,345.0,nonanimal,-2.010695563928674,1.154079172814938
Frontal ROI,346.0,animal,-1.3751019917130871,0.6928632238413911
Frontal ROI,346.0,nonanimal,-1.9951015781891208,1.175272188653885
Frontal ROI,347.0,animal,-1.3967739653157771,0.6972972502070114
Frontal ROI,347.0,nonanimal,-1.9898581508721638,1.1957745019538604
Frontal ROI,348.0,animal,-1.4198064046799757,0.7019093279422591
Frontal ROI,348.0,nonanimal,-2.004308076568926,1.214795076550303
Frontal ROI,349.0,animal,-1.4466745802960577,0.7066753818145245
Frontal ROI,349.0,nonanimal,-2.0414851996681436,1.233075451363624
Frontal ROI,350.0,animal,-1.4786366738468044,0.7116989524442399
Frontal ROI,350.0,nonanimal,-2.0975745622466615,1.2517226377538253
Frontal ROI,351.0,animal,-1.515265920346097,0.7170485042241114
Frontal ROI,351.0,nonanimal,-2.1632894718931914,1.2713911691214563
Frontal ROI,352.0,animal,-1.5548357727807431,0.7224678752339195
Frontal ROI,352.0,nonanimal,-2.226686576078061,1.2923957408030464
Frontal ROI,353.0,animal,-1.5952647066894863,0.727260869387304
Frontal ROI,353.0,nonanimal,-2.2764761688697055,1.31509810332214
Frontal ROI,354.0,animal,-1.6350198868441015,0.7305766700314905
Frontal ROI,354.0,nonanimal,-2.3048188244239642,1.3396152050848076
Frontal ROI,355.0,animal,-1.673453222758722,0.7319501506929436
Frontal ROI,355.0,nonanimal,-2.3089141484155653,1.364892805805715
Frontal ROI,356.0,animal,-1.7104287297806031,0.7316937084107246
Frontal ROI,356.0,nonanimal,-2.2911893008480235,1.3881615298051553
Frontal ROI,357.0,animal,-1.7455389818551879,0.7308787960807487
Frontal ROI,357.0,nonanimal,-2.258323848743692,1.4055466949236326
Frontal ROI,358.0,animal,-1.7774535121314172,0.7310147503243416
Frontal ROI,358.0,nonanimal,-2.219561923958511,1.413544285621926
Frontal ROI,359.0,animal,-1.8038751302773566,0.7337122121052649
Frontal ROI,359.0,nonanimal,-2.184737690118496,1.4104495461576172
Frontal ROI,360.0,animal,-1.822260589923267,0.7404384507653592
Frontal ROI,360.0,nonanimal,-2.162317212145308,1.397053672884464
Frontal ROI,361.0,animal,-1.8310653313057597,0.7522189080726535
Frontal ROI,361.0,nonanimal,-2.1576627151279344,1.376471858524837
Frontal ROI,362.0,animal,-1.8309795935853614,0.7692178454626319
Frontal ROI,362.0,nonanimal,-2.171769850588654,1.353302960751631
Frontal ROI,363.0,animal,-1.8255649194766899,0.7904557108628153
Frontal ROI,363.0,nonanimal,-2.200834638915377,1.3324047806179922
Frontal ROI,364.0,animal,-1.8208865304186925,0.8139708830646437
Frontal ROI,364.0,nonanimal,-2.2370135676415575,1.317610223427694
Frontal ROI,365.0,animal,-1.8241030646404226,0.8373652420315617
Frontal ROI,365.0,nonanimal,-2.2704656070163862,1.310801172771787
Frontal ROI,366.0,animal,-1.841387610357455,0.8583875942167792
Frontal ROI,366.0,nonanimal,-2.2922427043616596,1.3117171189658225
Frontal ROI,367.0,animal,-1.8758617195584435,0.8753492164768755
Frontal ROI,367.0,nonanimal,-2.297076396364692,1.3185395507060853
