subject,session,roi,condition,time_s,amplitude_uV
sub-015,ses-01,Frontal ROI,familiar,0.141,-10.54583172129159
sub-015,ses-01,Frontal ROI,familiar,0.142,-10.505297493817126
sub-015,ses-01,Frontal ROI,familiar,0.143,-10.404994760448563
sub-015,ses-01,Frontal ROI,familiar,0.144,-10.243260815757653
sub-015,ses-01,Frontal ROI,familiar,0.145,-10.02296027658322
sub-015,ses-01,Frontal ROI,familiar,0.146,-9.751838304541712
sub-015,ses-01,Frontal ROI,familiar,0.147,-9.44135444131331
sub-015,ses-01,Frontal ROI,familiar,0.148,-9.104386550108604
sub-015,ses-01,Frontal ROI,familiar,0.149,-8.752592726741222
sub-015,ses-01,Frontal ROI,familiar,0.15,-8.39427946441768
sub-015,ses-01,Frontal ROI,familiar,0.151,-8.033385751590979
sub-015,ses-01,Frontal ROI,familiar,0.152,-7.669816508420992
sub-015,ses-01,Frontal ROI,familiar,0.153,-7.300957572735693
sub-015,ses-01,Frontal ROI,familiar,0.154,-6.923896814371121
sub-015,ses-01,Frontal ROI,familiar,0.155,-6.5377120922664
sub-015,ses-01,Frontal ROI,familiar,0.156,-6.145187777778455
sub-015,ses-01,Frontal ROI,familiar,0.157,-5.7534604999600685
sub-015,ses-01,Frontal ROI,familiar,0.158,-5.373353516695027
sub-015,ses-01,Frontal ROI,familiar,0.159,-5.017535427450922
sub-015,ses-01,Frontal ROI,familiar,0.16,-4.698042708852319
sub-015,ses-01,Frontal ROI,familiar,0.161,-4.423955808743785
sub-015,ses-01,Frontal ROI,familiar,0.162,-4.199969330037859
sub-015,ses-01,Frontal ROI,familiar,0.163,-4.026260271917747
sub-015,ses-01,Frontal ROI,familiar,0.164,-3.8995818615730418
sub-015,ses-01,Frontal ROI,familiar,0.165,-3.815071897659561
sub-015,ses-01,Frontal ROI,familiar,0.166,-3.7680294235693124
sub-015,ses-01,Frontal ROI,familiar,0.167,-3.7550002351702876
sub-015,ses-01,Frontal ROI,familiar,0.168,-3.773884423329031
sub-015,ses-01,Frontal ROI,familiar,0.169,-3.823238057717065
sub-015,ses-01,Frontal ROI,familiar,0.17,-3.90124770511965
sub-015,ses-01,Frontal ROI,familiar,0.171,-4.004919481121108
sub-015,ses-01,Frontal ROI,familiar,0.172,-4.129881612368779
sub-015,ses-01,Frontal ROI,familiar,0.173,-4.2709442989321875
sub-015,ses-01,Frontal ROI,familiar,0.174,-4.423275997078669
sub-015,ses-01,Frontal ROI,familiar,0.175,-4.5838196698374265
sub-015,ses-01,Frontal ROI,familiar,0.176,-4.752440060816083
sub-015,ses-01,Frontal ROI,familiar,0.177,-4.93230732724389
sub-015,ses-01,Frontal ROI,familiar,0.178,-5.129197074816719
sub-015,ses-01,Frontal ROI,familiar,0.179,-5.349732586462498
sub-015,ses-01,Frontal ROI,familiar,0.18,-5.599010185522322
sub-015,ses-01,Frontal ROI,familiar,0.181,-5.878356753192264
sub-015,ses-01,Frontal ROI,familiar,0.182,-6.184003980904499
sub-015,ses-01,Frontal ROI,familiar,0.183,-6.507186556943382
sub-015,ses-01,Frontal ROI,familiar,0.184,-6.835686580135913
sub-015,ses-01,Frontal ROI,familiar,0.185,-7.156343952344816
sub-015,ses-01,Frontal ROI,familiar,0.186,-7.457739743776265
sub-015,ses-01,Frontal ROI,familiar,0.187,-7.7322740854602685
sub-015,ses-01,Frontal ROI,familiar,0.188,-7.977148776368836
sub-015,ses-01,Frontal ROI,familiar,0.189,-8.194155694139182
sub-015,ses-01,Frontal ROI,familiar,0.19,-8.388495572997808
sub-015,ses-01,Frontal ROI,familiar,0.191,-8.567041929503702
sub-015,ses-01,Frontal ROI,familiar,0.192,-8.736511273969432
sub-015,ses-01,Frontal ROI,familiar,0.193,-8.901910637491692
sub-015,ses-01,Frontal ROI,familiar,0.194,-9.065488540906028
sub-015,ses-01,Frontal ROI,familiar,0.195,-9.226320404643637
sub-015,ses-01,Frontal ROI,familiar,0.196,-9.38064289441372
sub-015,ses-01,Frontal ROI,familiar,0.197,-9.52299204707908
sub-015,ses-01,Frontal ROI,familiar,0.198,-9.648004168000194
sub-015,ses-01,Frontal ROI,familiar,0.199,-9.75242953699689
sub-015,ses-01,Frontal ROI,familiar,0.2,-9.83667999003817
sub-015,ses-01,Frontal ROI,familiar,0.201,-9.905263723949789
sub-015,ses-01,Frontal ROI,familiar,0.202,-9.965842924706363
sub-015,ses-01,Frontal ROI,familiar,0.203,-10.02724582532409
sub-015,ses-01,Frontal ROI,familiar,0.204,-10.097256475639181
sub-015,ses-01,Frontal ROI,familiar,0.205,-10.18107215923777
sub-015,ses-01,Frontal ROI,familiar,0.206,-10.280907563388453
sub-015,ses-01,Frontal ROI,familiar,0.207,-10.396604332532453
sub-015,ses-01,Frontal ROI,familiar,0.208,-10.526669170511655
sub-015,ses-01,Frontal ROI,familiar,0.209,-10.669105874394292
sub-015,ses-01,Frontal ROI,familiar,0.21,-10.821689277803863
sub-015,ses-01,Frontal ROI,familiar,0.211,-10.981762968167612
sub-015,ses-01,Frontal ROI,familiar,0.212,-11.145983801362435
sub-015,ses-01,Frontal ROI,familiar,0.213,-11.310484714359083
sub-015,ses-01,Frontal ROI,familiar,0.214,-11.471647609547045
sub-015,ses-01,Frontal ROI,familiar,0.215,-11.627233732687097
sub-015,ses-01,Frontal ROI,familiar,0.216,-11.777309159799703
sub-015,ses-01,Frontal ROI,familiar,0.217,-11.92440797930085
sub-015,ses-01,Frontal ROI,familiar,0.218,-12.072727568760547
sub-015,ses-01,Frontal ROI,familiar,0.219,-12.226651267816822
sub-015,ses-01,Frontal ROI,familiar,0.22,-12.38924703982357
sub-015,ses-01,Frontal ROI,familiar,0.221,-12.561359113792696
sub-015,ses-01,Frontal ROI,familiar,0.222,-12.7415275380244
sub-015,ses-01,Frontal ROI,familiar,0.223,-12.926535412836456
sub-015,ses-01,Frontal ROI,familiar,0.224,-13.112165534415501
sub-015,ses-01,Frontal ROI,familiar,0.225,-13.293826169410917
sub-015,ses-01,Frontal ROI,familiar,0.226,-13.466940730235875
sub-015,ses-01,Frontal ROI,familiar,0.227,-13.627215828129554
sub-015,ses-01,Frontal ROI,familiar,0.228,-13.770970901321572
sub-015,ses-01,Frontal ROI,familiar,0.229,-13.89559191026602
sub-015,ses-01,Frontal ROI,familiar,0.23,-13.999965255767167
sub-015,ses-01,Frontal ROI,familiar,0.231,-14.084623275588303
sub-015,ses-01,Frontal ROI,familiar,0.232,-14.151418966621712
sub-015,ses-01,Frontal ROI,familiar,0.233,-14.202793099153704
sub-015,ses-01,Frontal ROI,familiar,0.234,-14.240947962810313
sub-015,ses-01,Frontal ROI,familiar,0.235,-14.267320964619232
sub-015,ses-01,Frontal ROI,familiar,0.236,-14.282604397708464
sub-015,ses-01,Frontal ROI,familiar,0.237,-14.287263341967224
sub-015,ses-01,Frontal ROI,familiar,0.238,-14.282253480244753
sub-015,ses-01,Frontal ROI,familiar,0.239,-14.269573492683291
sub-015,ses-01,Frontal ROI,familiar,0.24,-14.252399977156681
sub-015,ses-01,Frontal ROI,familiar,0.241,-14.23471286213216
sub-015,ses-01,Frontal ROI,familiar,0.242,-14.220456610760515
sub-015,ses-01,Frontal ROI,familiar,0.243,-14.212426689650103
sub-015,ses-01,Frontal ROI,familiar,0.244,-14.211229411921884
sub-015,ses-01,Frontal ROI,familiar,0.245,-14.214729375404612
sub-015,ses-01,Frontal ROI,familiar,0.246,-14.2182580197442
sub-015,ses-01,Frontal ROI,familiar,0.247,-14.215577672189204
sub-015,ses-01,Frontal ROI,familiar,0.248,-14.200321484054989
sub-015,ses-01,Frontal ROI,familiar,0.249,-14.167502557331519
sub-015,ses-01,Frontal ROI,familiar,0.25,-14.114707694221165
sub-015,ses-01,Frontal ROI,familiar,0.251,-14.042714723741764
sub-015,ses-01,Frontal ROI,familiar,0.252,-13.955437584292584
sub-015,ses-01,Frontal ROI,familiar,0.253,-13.85924660390189
sub-015,ses-01,Frontal ROI,familiar,0.254,-13.761806950177819
sub-015,ses-01,Frontal ROI,familiar,0.255,-13.670651662701871
sub-015,ses-01,Frontal ROI,familiar,0.256,-13.591767959125319
sub-015,ses-01,Frontal ROI,familiar,0.257,-13.52852914248077
sub-015,ses-01,Frontal ROI,familiar,0.258,-13.481275866407092
sub-015,ses-01,Frontal ROI,familiar,0.259,-13.44770540814108
sub-015,ses-01,Frontal ROI,familiar,0.26,-13.423945980250531
sub-015,ses-01,Frontal ROI,familiar,0.261,-13.405878343027526
sub-015,ses-01,Frontal ROI,familiar,0.262,-13.390096377811401
sub-015,ses-01,Frontal ROI,familiar,0.263,-13.374050641863688
sub-015,ses-01,Frontal ROI,familiar,0.264,-13.355384657765569
sub-015,ses-01,Frontal ROI,familiar,0.265,-13.330991556881356
sub-015,ses-01,Frontal ROI,familiar,0.266,-13.296552590846531
sub-015,ses-01,Frontal ROI,familiar,0.267,-13.247099449375767
sub-015,ses-01,Frontal ROI,familiar,0.268,-13.17857549384754
sub-015,ses-01,Frontal ROI,familiar,0.269,-13.089758529890885
sub-015,ses-01,Frontal ROI,familiar,0.27,-12.983596329645914
sub-015,ses-01,Frontal ROI,familiar,0.271,-12.867211080874164
sub-015,ses-01,Frontal ROI,familiar,0.272,-12.750429392422152
sub-015,ses-01,Frontal ROI,familiar,0.273,-12.643345958087082
sub-015,ses-01,Frontal ROI,familiar,0.274,-12.553788648175113
sub-015,ses-01,Frontal ROI,familiar,0.275,-12.485518041757768
sub-015,ses-01,Frontal ROI,familiar,0.276,-12.43765489391042
sub-015,ses-01,Frontal ROI,familiar,0.277,-12.405353077648142
sub-015,ses-01,Frontal ROI,familiar,0.278,-12.381328892448957
sub-015,ses-01,Frontal ROI,familiar,0.279,-12.357673786447407
sub-015,ses-01,Frontal ROI,familiar,0.28,-12.327465658634189
sub-015,ses-01,Frontal ROI,familiar,0.281,-12.2859207918345
sub-015,ses-01,Frontal ROI,familiar,0.282,-12.231027235201053
sub-015,ses-01,Frontal ROI,familiar,0.283,-12.163693407630607
sub-015,ses-01,Frontal ROI,familiar,0.284,-12.08745065901854
sub-015,ses-01,Frontal ROI,familiar,0.285,-12.007734417370948
sub-015,ses-01,Frontal ROI,familiar,0.286,-11.930796410708288
sub-015,ses-01,Frontal ROI,familiar,0.287,-11.862411062538971
sub-015,ses-01,Frontal ROI,familiar,0.288,-11.80666856819903
sub-015,ses-01,Frontal ROI,familiar,0.289,-11.765196149031153
sub-015,ses-01,Frontal ROI,familiar,0.29,-11.737025920541404
